Ticker,Date,Time,Open,High,Low,Close,Volume
SPY,5/5/1998,14:00,74.93,75.01,74.82,74.93,1352220
SPY,5/5/1998,14:30,74.91,75.1,74.91,74.99,493663
SPY,5/5/1998,15:00,75.01,75.16,74.91,75.16,226039
SPY,5/5/1998,15:30,75.12,75.25,75.04,75.18,381088
SPY,5/5/1998,16:00,75.22,75.25,75.1,75.1,342621
SPY,5/6/1998,9:30,75.5,75.5,75.04,75.04,1076722
SPY,5/6/1998,10:00,75.12,75.14,74.64,74.78,1427964
SPY,5/6/1998,10:30,74.85,74.95,74.61,74.91,615144
SPY,5/6/1998,11:00,74.95,75.08,74.82,74.91,246682
SPY,5/6/1998,11:30,74.91,74.91,74.72,74.82,71435
SPY,5/6/1998,12:00,74.82,74.97,74.76,74.82,65643
SPY,5/6/1998,12:30,74.78,74.85,74.59,74.7,261681
SPY,5/6/1998,13:00,74.7,74.8,74.61,74.74,545941
SPY,5/6/1998,13:30,74.74,74.82,74.59,74.64,552472
SPY,5/6/1998,14:00,74.64,74.78,74.55,74.59,428908
SPY,5/6/1998,14:30,74.66,74.76,74.57,74.68,265991
SPY,5/6/1998,15:00,74.66,74.91,74.59,74.74,529605
SPY,5/6/1998,15:30,74.74,74.82,74.38,74.4,1545881
SPY,5/6/1998,16:00,74.4,74.47,74.19,74.21,529304
SPY,5/7/1998,9:30,74.4,74.45,74.05,74.07,2525781
SPY,5/7/1998,10:00,74.11,74.32,74.03,74.28,1478307
SPY,5/7/1998,10:30,74.24,74.36,74.15,74.21,732920
SPY,5/7/1998,11:00,74.19,74.19,74.03,74.09,715539
SPY,5/7/1998,11:30,74.07,74.24,74.07,74.24,549204
SPY,5/7/1998,12:00,74.24,74.28,74.15,74.19,275939
SPY,5/7/1998,12:30,74.11,74.17,73.94,74.07,410346
SPY,5/7/1998,13:00,74.07,74.17,73.98,74.11,388217
SPY,5/7/1998,13:30,74.11,74.26,74.07,74.07,225893
SPY,5/7/1998,14:00,74.13,74.28,74.09,74.19,371880
SPY,5/7/1998,14:30,74.24,74.24,74,74.05,388069
SPY,5/7/1998,15:00,74.13,74.15,73.9,73.9,343511
SPY,5/7/1998,15:30,73.9,74.05,73.67,73.79,1562514
SPY,5/7/1998,16:00,73.73,73.84,73.63,73.63,334900
SPY,5/8/1998,9:30,74.07,74.59,74.07,74.4,1628902
SPY,5/8/1998,10:00,74.45,74.82,74.34,74.72,1536079
SPY,5/8/1998,10:30,74.7,74.85,74.55,74.76,1050299
SPY,5/8/1998,11:00,74.87,74.93,74.72,74.85,984948
SPY,5/8/1998,11:30,74.76,74.82,74.66,74.68,264504
SPY,5/8/1998,12:00,74.74,74.95,74.74,74.95,845340
SPY,5/8/1998,12:30,74.95,74.99,74.82,74.82,270890
SPY,5/8/1998,13:00,74.8,74.95,74.8,74.8,1015242
SPY,5/8/1998,13:30,74.8,74.91,74.72,74.74,317378
SPY,5/8/1998,14:00,74.78,74.78,74.7,74.78,291681
SPY,5/8/1998,14:30,74.76,74.87,74.49,74.57,1241726
SPY,5/8/1998,15:00,74.57,74.66,74.36,74.45,1127227
SPY,5/8/1998,15:30,74.45,74.74,74.38,74.74,820249
SPY,5/8/1998,16:00,74.74,74.82,74.66,74.82,350939
SPY,5/11/1998,9:30,75.12,75.31,75.1,75.16,756246
SPY,5/11/1998,10:00,75.22,75.46,75.2,75.39,1192867
SPY,5/11/1998,10:30,75.41,75.56,75.33,75.37,737522
SPY,5/11/1998,11:00,75.37,75.39,75.14,75.22,359404
SPY,5/11/1998,11:30,75.16,75.29,75.1,75.16,733365
SPY,5/11/1998,12:00,75.16,75.25,75.12,75.16,239551
SPY,5/11/1998,12:30,75.12,75.18,74.95,75.04,313067
SPY,5/11/1998,13:00,75.08,75.12,74.99,75.06,397125
SPY,5/11/1998,13:30,75.08,75.2,75.08,75.12,423563
SPY,5/11/1998,14:00,75.12,75.12,74.91,74.93,892272
SPY,5/11/1998,14:30,74.91,75.04,74.8,74.87,490246
SPY,5/11/1998,15:00,74.87,74.87,74.51,74.51,858115
SPY,5/11/1998,15:30,74.51,74.68,74.32,74.64,1800881
SPY,5/11/1998,16:00,74.55,74.72,74.53,74.57,181634
SPY,5/12/1998,9:30,74.68,74.95,74.59,74.61,1373940
SPY,5/12/1998,10:00,74.7,75.03,74.7,74.93,617007
SPY,5/12/1998,10:30,74.93,75.03,74.85,74.89,307469
SPY,5/12/1998,11:00,74.93,74.93,74.72,74.72,161744
SPY,5/12/1998,11:30,74.76,74.8,74.51,74.55,1162483
SPY,5/12/1998,12:00,74.49,74.61,74.36,74.55,247219
SPY,5/12/1998,12:30,74.51,74.63,74.51,74.59,164119
SPY,5/12/1998,13:00,74.53,74.72,74.53,74.61,167087
SPY,5/12/1998,13:30,74.59,74.66,74.45,74.61,286835
SPY,5/12/1998,14:00,74.63,74.89,74.63,74.8,300490
SPY,5/12/1998,14:30,74.76,75.01,74.74,74.97,913187
SPY,5/12/1998,15:00,74.97,75.18,74.97,75.12,1527521
SPY,5/12/1998,15:30,75.1,75.39,75.1,75.22,1552304
SPY,5/12/1998,16:00,75.27,75.46,75.27,75.43,155513
SPY,5/13/1998,9:30,75.46,75.79,75.37,75.62,1772660
SPY,5/13/1998,10:00,75.58,75.67,75.25,75.37,1004997
SPY,5/13/1998,10:30,75.33,75.5,75.14,75.25,308913
SPY,5/13/1998,11:00,75.25,75.43,75.2,75.41,594650
SPY,5/13/1998,11:30,75.35,75.6,75.35,75.56,315446
SPY,5/13/1998,12:00,75.5,75.54,75.39,75.5,364751
SPY,5/13/1998,12:30,75.54,75.67,75.41,75.6,123417
SPY,5/13/1998,13:00,75.58,75.62,75.52,75.6,138418
SPY,5/13/1998,13:30,75.6,75.73,75.5,75.67,269256
SPY,5/13/1998,14:00,75.69,75.79,75.56,75.56,342177
SPY,5/13/1998,14:30,75.54,75.65,75.31,75.37,263018
SPY,5/13/1998,15:00,75.33,75.62,75.22,75.56,338761
SPY,5/13/1998,15:30,75.58,75.58,75.37,75.46,576976
SPY,5/13/1998,16:00,75.5,75.58,75.5,75.56,127723
SPY,5/14/1998,9:30,75.1,75.25,74.97,75.12,1079546
SPY,5/14/1998,10:00,75.12,75.41,75.12,75.37,590046
SPY,5/14/1998,10:30,75.37,75.6,75.33,75.58,542525
SPY,5/14/1998,11:00,75.58,75.81,75.52,75.69,390151
SPY,5/14/1998,11:30,75.69,75.79,75.62,75.69,249800
SPY,5/14/1998,12:00,75.71,75.73,75.48,75.58,380791
SPY,5/14/1998,12:30,75.5,75.71,75.5,75.67,205840
SPY,5/14/1998,13:00,75.67,75.81,75.67,75.75,203616
SPY,5/14/1998,13:30,75.83,75.88,75.67,75.71,378711
SPY,5/14/1998,14:00,75.67,75.75,75.58,75.73,127280
SPY,5/14/1998,14:30,75.69,75.86,75.58,75.62,160398
SPY,5/14/1998,15:00,75.58,75.58,75.33,75.48,490254
SPY,5/14/1998,15:30,75.48,75.58,75.25,75.39,1009895
SPY,5/14/1998,16:00,75.33,75.41,75.18,75.18,192027
SPY,5/15/1998,9:30,75.41,75.52,75.16,75.33,1774000
SPY,5/15/1998,10:00,75.27,75.46,75.18,75.41,494109
SPY,5/15/1998,10:30,75.46,75.56,75.35,75.41,545048
SPY,5/15/1998,11:00,75.37,75.52,75.2,75.25,440936
SPY,5/15/1998,11:30,75.2,75.31,75.1,75.25,805687
SPY,5/15/1998,12:00,75.25,75.35,75.1,75.2,241041
SPY,5/15/1998,12:30,75.2,75.31,75.12,75.2,26438
SPY,5/15/1998,13:00,75.22,75.39,75.22,75.33,287227
SPY,5/15/1998,13:30,75.33,75.37,75.2,75.25,403514
SPY,5/15/1998,14:00,75.31,75.31,75.01,75.08,774057
SPY,5/15/1998,14:30,75.12,75.16,74.8,74.89,1492863
SPY,5/15/1998,15:00,74.87,74.91,74.61,74.78,1048960
SPY,5/15/1998,15:30,74.78,74.85,74.68,74.74,1025338
SPY,5/15/1998,16:00,74.74,74.85,74.7,74.74,212524
SPY,5/15/1998,16:30,74.76,74.76,74.76,74.76,7426
SPY,5/18/1998,9:30,74.55,75.14,74.55,75.06,886040
SPY,5/18/1998,10:00,75.12,75.12,74.78,74.78,462027
SPY,5/18/1998,10:30,74.76,74.78,74.55,74.57,690294
SPY,5/18/1998,11:00,74.53,74.78,74.53,74.74,235545
SPY,5/18/1998,11:30,74.78,74.8,74.49,74.55,210595
SPY,5/18/1998,12:00,74.61,74.72,74.45,74.53,262277
SPY,5/18/1998,12:30,74.49,74.64,74.47,74.53,488168
SPY,5/18/1998,13:00,74.53,74.7,74.49,74.57,271631
SPY,5/18/1998,13:30,74.59,74.7,74.51,74.53,116139
SPY,5/18/1998,14:00,74.59,74.66,74.49,74.61,102477
SPY,5/18/1998,14:30,74.55,74.59,74.07,74.15,1639889
SPY,5/18/1998,15:00,74.07,74.32,73.94,74.28,1138806
SPY,5/18/1998,15:30,74.26,74.66,74.24,74.64,536137
SPY,5/18/1998,16:00,74.64,74.64,74.47,74.47,147475
SPY,5/19/1998,9:30,74.74,75.14,74.74,75.08,988219
SPY,5/19/1998,10:00,75.06,75.14,74.91,75.04,1177419
SPY,5/19/1998,10:30,74.99,75.2,74.93,75.16,1528951
SPY,5/19/1998,11:00,75.12,75.12,74.93,75.01,287672
SPY,5/19/1998,11:30,75.01,75.16,75.01,75.12,185348
SPY,5/19/1998,12:00,75.12,75.16,75.06,75.08,70546
SPY,5/19/1998,12:30,75.12,75.16,75.06,75.14,101733
SPY,5/19/1998,13:00,75.08,75.16,75.08,75.16,228565
SPY,5/19/1998,13:30,75.14,75.16,75.04,75.08,108119
SPY,5/19/1998,14:00,75.14,75.2,74.85,75.06,1623853
SPY,5/19/1998,14:30,75.01,75.01,74.7,74.87,701873
SPY,5/19/1998,15:00,74.8,74.95,74.59,74.87,1144447
SPY,5/19/1998,15:30,74.78,74.97,74.7,74.78,480739
SPY,5/19/1998,16:00,74.85,74.97,74.82,74.97,97129
SPY,5/20/1998,9:30,75.48,75.5,75.12,75.41,432026
SPY,5/20/1998,10:00,75.41,75.41,75.08,75.16,1175338
SPY,5/20/1998,10:30,75.16,75.27,74.95,75.06,262426
SPY,5/20/1998,11:00,75.01,75.16,74.99,75.04,472424
SPY,5/20/1998,11:30,75.01,75.04,74.74,74.82,494999
SPY,5/20/1998,12:00,74.82,74.95,74.74,74.74,370989
SPY,5/20/1998,12:30,74.78,74.97,74.76,74.95,192773
SPY,5/20/1998,13:00,74.95,74.99,74.66,74.66,288268
SPY,5/20/1998,13:30,74.74,75.01,74.66,74.99,257822
SPY,5/20/1998,14:00,74.99,75.14,74.91,75.04,1762415
SPY,5/20/1998,14:30,75.06,75.25,75.01,75.25,537769
SPY,5/20/1998,15:00,75.31,75.35,75.12,75.31,661631
SPY,5/20/1998,15:30,75.25,75.75,75.25,75.6,1263555
SPY,5/20/1998,16:00,75.62,75.69,75.52,75.69,117624
SPY,5/21/1998,9:30,75.67,75.79,75.5,75.58,667278
SPY,5/21/1998,10:00,75.54,75.75,75.46,75.73,359105
SPY,5/21/1998,10:30,75.71,75.94,75.69,75.81,1978504
SPY,5/21/1998,11:00,75.75,75.86,75.58,75.58,118219
